did,pid,start_time,pro_time,finish_time
0,140,0,5,5
0,189,5,5,10
0,4,10,6,16
0,17,16,6,22
0,63,22,6,28
0,77,28,6,34
0,125,34,6,40
0,161,40,6,46
0,207,46,6,52
0,214,52,6,58
0,217,58,6,64
0,256,64,6,70
0,272,70,6,76
0,283,76,6,82
0,297,82,6,88
0,68,88,7,95
0,154,95,7,102
0,41,102,8,110
0,56,110,8,118
0,71,118,8,126
0,79,126,8,134
0,237,134,8,142
0,43,142,9,151
0,121,151,9,160
0,186,160,9,169
0,228,169,9,178
0,266,178,7,185
0,299,185,9,194
0,179,194,10,204
0,221,204,10,214
1,81,0,5,5
1,148,5,5,10
1,174,10,5,15
1,196,15,5,20
1,224,20,5,25
1,237,25,5,30
1,20,30,6,36
1,39,36,6,42
1,68,42,6,48
1,78,48,6,54
1,122,54,6,60
1,168,60,6,66
1,74,66,7,73
1,3,73,8,81
1,50,81,8,89
1,62,89,8,97
1,97,97,8,105
1,134,105,8,113
1,139,113,8,121
1,156,121,8,129
1,170,129,8,137
1,194,137,8,145
1,227,145,8,153
1,60,153,9,162
1,76,162,9,171
1,91,171,9,180
1,111,180,9,189
1,192,189,9,198
1,229,198,9,207
1,80,207,10,217
1,94,217,10,227
1,64,227,10,237
1,123,237,10,247
1,146,247,10,257
1,158,257,10,267
1,183,267,10,277
1,233,277,10,287
2,42,0,5,5
2,101,5,5,10
2,205,10,5,15
2,85,15,6,21
2,89,21,6,27
2,138,27,6,33
2,232,33,6,39
2,263,39,6,45
2,6,45,7,52
2,13,52,7,59
2,105,59,7,66
2,112,66,7,73
2,23,73,5,78
2,216,78,7,85
2,247,85,7,92
2,288,92,7,99
2,53,99,8,107
2,143,107,5,112
2,66,112,8,120
2,88,120,8,128
2,177,128,8,136
2,124,136,6,142
2,235,142,8,150
2,243,150,8,158
2,266,158,8,166
2,293,166,8,174
2,294,174,8,182
2,7,182,9,191
2,15,191,9,200
2,19,200,9,209
2,43,209,9,218
2,164,218,9,227
2,113,227,10,237
2,137,237,10,247
2,198,247,10,257
2,291,257,10,267
3,108,0,5,5
3,130,5,5,10
3,141,10,5,15
3,172,15,5,20
3,180,20,5,25
3,2,25,6,31
3,35,31,6,37
3,107,37,6,43
3,145,43,6,49
3,159,49,6,55
3,215,55,6,61
3,246,61,6,67
3,254,67,6,73
3,265,73,6,79
3,241,79,7,86
3,251,86,7,93
3,259,93,7,100
3,10,100,8,108
3,36,108,8,116
3,239,116,6,122
3,124,122,8,130
3,126,130,8,138
3,242,138,8,146
3,260,146,8,154
3,43,154,9,163
3,151,163,9,172
3,175,172,9,181
3,182,181,9,190
3,200,190,9,199
3,226,199,9,208
3,129,208,10,218
3,131,218,10,228
3,160,228,10,238
3,64,238,5,243
3,248,243,10,253
3,244,253,5,258
3,114,258,9,267
4,28,0,5,5
4,46,5,5,10
4,52,10,5,15
4,69,15,5,20
4,157,20,5,25
4,32,25,6,31
4,33,31,6,37
4,77,37,5,42
4,65,42,6,48
4,120,48,6,54
4,162,54,6,60
4,178,60,6,66
4,47,66,7,73
4,152,73,7,80
4,117,80,8,88
4,127,88,8,96
4,163,96,8,104
4,175,104,8,112
4,201,112,8,120
4,230,120,8,128
4,245,128,8,136
4,18,136,9,145
4,124,145,6,151
4,185,151,8,159
4,29,159,9,168
4,87,168,9,177
4,128,177,9,186
4,236,186,9,195
4,8,195,10,205
4,26,205,10,215
4,64,215,10,225
4,118,225,10,235
4,142,235,10,245
4,147,245,10,255
4,210,255,10,265
4,240,265,10,275
4,197,278,7,285
5,1,0,5,5
5,54,5,5,10
5,171,10,5,15
5,55,15,6,21
5,93,21,6,27
5,119,27,6,33
5,133,33,6,39
5,135,39,6,45
5,175,45,6,51
5,220,51,6,57
5,282,57,6,63
5,285,63,6,69
5,246,69,5,74
5,44,74,7,81
5,45,81,7,88
5,83,88,7,95
5,178,95,7,102
5,32,102,8,110
5,57,110,8,118
5,275,118,8,126
5,67,126,9,135
5,98,135,9,144
5,102,144,9,153
5,198,153,9,162
5,243,162,5,167
5,185,167,9,176
5,237,176,9,185
5,267,185,8,193
5,292,193,9,202
5,21,202,10,212
5,241,212,6,218
5,38,218,10,228
5,60,228,10,238
5,73,238,10,248
5,114,248,10,258
5,197,258,10,268
5,103,268,10,278
6,49,0,5,5
6,67,5,5,10
6,78,10,5,15
6,109,15,5,20
6,116,20,5,25
6,155,25,5,30
6,188,30,5,35
6,212,35,5,40
6,218,40,5,45
6,257,45,5,50
6,261,50,5,55
6,264,55,5,60
6,268,60,5,65
6,269,65,5,70
6,22,70,6,76
6,37,76,7,83
6,23,83,5,88
6,58,88,7,95
6,165,95,7,102
6,208,102,7,109
6,225,109,7,116
6,51,116,8,124
6,86,124,8,132
6,185,132,8,140
6,97,140,7,147
6,195,147,8,155
6,239,155,8,163
6,267,163,8,171
6,266,171,7,178
6,0,178,9,187
6,169,187,9,196
6,202,196,9,205
6,209,205,9,214
6,238,214,9,223
6,40,223,10,233
6,99,233,10,243
6,197,268,10,278
7,167,0,5,5
7,199,5,5,10
7,213,10,5,15
7,27,15,6,21
7,77,21,6,27
7,82,27,6,33
7,178,33,6,39
7,223,39,6,45
7,255,45,6,51
7,287,51,6,57
7,68,57,7,64
7,143,64,7,71
7,166,71,7,78
7,190,78,7,85
7,277,85,7,92
7,299,92,7,99
7,59,99,8,107
7,153,107,8,115
7,181,115,8,123
7,184,123,8,131
7,246,131,8,139
7,249,139,8,147
7,274,147,8,155
7,16,155,9,164
7,90,164,9,173
7,115,173,9,182
7,234,182,9,191
7,250,191,9,200
7,9,200,10,210
7,292,210,8,218
7,31,218,10,228
7,96,228,10,238
7,60,238,8,246
7,149,246,10,256
7,202,256,10,266
7,244,266,8,274
8,106,0,5,5
8,211,5,5,10
8,284,10,5,15
8,286,15,5,20
8,78,20,6,26
8,92,26,6,32
8,203,32,6,38
8,206,38,6,44
8,296,44,6,50
8,298,50,6,56
8,5,56,7,63
8,23,63,7,70
8,72,70,7,77
8,100,77,7,84
8,176,84,7,91
8,187,91,7,98
8,143,98,8,106
8,299,106,7,113
8,252,113,8,121
8,84,121,9,130
8,97,130,9,139
8,67,139,9,148
8,273,148,9,157
8,280,157,9,166
8,136,166,10,176
8,144,176,10,186
8,191,186,10,196
8,241,196,10,206
8,202,206,5,211
8,262,211,10,221
8,270,221,10,231
8,279,231,10,241
8,158,267,5,272
8,114,272,6,278
9,14,0,5,5
9,34,5,5,10
9,61,10,5,15
9,150,15,5,20
9,173,20,5,25
9,231,25,5,30
9,276,30,5,35
9,11,35,6,41
9,12,41,6,47
9,132,47,6,53
9,290,53,6,59
9,70,59,7,66
9,110,66,7,73
9,222,73,7,80
9,258,80,7,87
9,281,87,7,94
9,204,94,8,102
9,239,102,8,110
9,32,110,6,116
9,271,116,8,124
9,295,124,8,132
9,24,132,9,141
9,75,141,9,150
9,95,150,9,159
9,253,159,9,168
9,25,168,10,178
9,267,178,5,183
9,30,183,10,193
9,48,193,10,203
9,104,203,10,213
9,193,213,10,223
9,292,223,5,228
9,219,228,10,238
9,244,238,10,248
9,278,248,10,258
9,198,258,10,268
9,289,268,10,278
