did,pid,start_time,pro_time,finish_time
0,36,0,11,11
0,7,11,13,24
0,32,24,13,37
0,40,37,13,50
0,75,50,13,63
0,16,63,16,79
0,24,79,17,96
0,46,96,18,114
0,13,114,15,129
0,26,129,19,148
1,35,0,10,10
1,47,10,10,20
1,4,20,11,31
1,27,31,11,42
1,45,42,11,53
1,31,53,16,69
1,9,69,20,89
1,66,121,17,138
1,13,138,12,150
1,1,150,15,165
2,54,0,14,14
2,18,14,15,29
2,51,29,15,44
2,25,44,16,60
2,64,60,16,76
2,5,76,17,93
2,14,93,18,111
2,1,111,19,130
2,17,130,19,149
2,63,149,19,168
3,6,0,11,11
3,78,11,12,23
3,61,23,13,36
3,0,36,14,50
3,62,50,12,62
3,72,62,14,76
3,15,76,15,91
3,4,91,16,107
3,19,107,16,123
3,56,123,20,143
4,37,0,10,10
4,42,10,10,20
4,77,20,10,30
4,49,30,15,45
4,2,45,16,61
4,43,61,20,81
4,57,81,20,101
4,66,101,20,121
4,76,121,20,141
4,59,141,19,160
5,7,0,10,10
5,20,10,11,21
5,11,21,12,33
5,33,33,13,46
5,60,46,13,59
5,3,59,16,75
5,12,75,16,91
5,28,91,17,108
5,58,108,17,125
5,73,125,20,145
6,30,0,12,12
6,74,12,13,25
6,20,25,15,40
6,38,40,15,55
6,34,55,16,71
6,48,71,17,88
6,59,88,19,107
6,5,107,13,120
6,4,120,14,134
6,22,134,20,154
7,10,0,12,12
7,79,12,14,26
7,55,26,15,41
7,20,41,12,53
7,21,53,18,71
7,37,71,19,90
7,13,90,20,110
7,43,110,13,123
7,41,123,20,143
8,71,0,10,10
8,68,10,12,22
8,50,22,18,40
8,70,40,19,59
8,23,59,20,79
8,34,79,11,90
8,43,90,14,104
8,62,104,14,118
8,52,118,20,138
8,53,138,20,158
9,8,0,10,10
9,69,10,10,20
9,39,20,11,31
9,62,31,14,45
9,29,45,16,61
9,44,61,16,77
9,67,77,16,93
9,65,93,17,110
9,59,110,16,126
9,1,130,12,142
